points[0] : x: 800, y: 60
points[1] : x: 840, y: 80
points[2] : x: 880, y: 100
points[3] : x: 920, y: 120
points[4] : x: 960, y: 140
points[5] : x: 1000, y: 160
points[6] : x: 1040, y: 180
points[7] : x: 1080, y: 200
points[8] : x: 1120, y: 220
points[9] : x: 1160, y: 240
points[10] : x: 1200, y: 260
points[11] : x: 1240, y: 280
points[12] : x: 1280, y: 300
points[13] : x: 1320, y: 320
points[14] : x: 1360, y: 340
points[15] : x: 1400, y: 360
points[16] : x: 760, y: 80
points[17] : x: 800, y: 100
points[18] : x: 840, y: 120
points[19] : x: 880, y: 140
points[20] : x: 920, y: 160
points[21] : x: 960, y: 180
points[22] : x: 1000, y: 200
points[23] : x: 1040, y: 220
points[24] : x: 1080, y: 240
points[25] : x: 1120, y: 260
points[26] : x: 1160, y: 280
points[27] : x: 1200, y: 300
points[28] : x: 1240, y: 320
points[29] : x: 1280, y: 340
points[30] : x: 1320, y: 360
points[31] : x: 1360, y: 380
points[32] : x: 720, y: 100
points[33] : x: 760, y: 120
points[34] : x: 800, y: 140
points[35] : x: 840, y: 160
points[36] : x: 880, y: 180
points[37] : x: 920, y: 200
points[38] : x: 960, y: 220
points[39] : x: 1000, y: 240
points[40] : x: 1040, y: 260
points[41] : x: 1080, y: 280
points[42] : x: 1120, y: 300
points[43] : x: 1160, y: 320
points[44] : x: 1200, y: 340
points[45] : x: 1240, y: 360
points[46] : x: 1280, y: 380
points[47] : x: 1320, y: 400
points[48] : x: 680, y: 120
points[49] : x: 720, y: 140
points[50] : x: 760, y: 160
points[51] : x: 800, y: 180
points[52] : x: 840, y: 200
points[53] : x: 880, y: 220
points[54] : x: 920, y: 240
points[55] : x: 960, y: 260
points[56] : x: 1000, y: 280
points[57] : x: 1040, y: 300
points[58] : x: 1080, y: 320
points[59] : x: 1120, y: 340
points[60] : x: 1160, y: 360
points[61] : x: 1200, y: 380
points[62] : x: 1240, y: 400
points[63] : x: 1280, y: 420
points[64] : x: 640, y: 140
points[65] : x: 680, y: 160
points[66] : x: 720, y: 180
points[67] : x: 760, y: 200
points[68] : x: 800, y: 220
points[69] : x: 840, y: 240
points[70] : x: 880, y: 260
points[71] : x: 920, y: 280
points[72] : x: 960, y: 300
points[73] : x: 1000, y: 320
points[74] : x: 1040, y: 340
points[75] : x: 1080, y: 360
points[76] : x: 1120, y: 380
points[77] : x: 1160, y: 400
points[78] : x: 1200, y: 420
points[79] : x: 1240, y: 440
points[80] : x: 600, y: 160
points[81] : x: 640, y: 180
points[82] : x: 680, y: 200
points[83] : x: 720, y: 220
points[84] : x: 760, y: 240
points[85] : x: 800, y: 260
points[86] : x: 840, y: 280
points[87] : x: 880, y: 300
points[88] : x: 920, y: 320
points[89] : x: 960, y: 340
points[90] : x: 1000, y: 360
points[91] : x: 1040, y: 380
points[92] : x: 1080, y: 400
points[93] : x: 1120, y: 420
points[94] : x: 1160, y: 440
points[95] : x: 1200, y: 460
points[96] : x: 560, y: 180
points[97] : x: 600, y: 200
points[98] : x: 640, y: 220
points[99] : x: 680, y: 240
points[100] : x: 720, y: 260
points[101] : x: 760, y: 280
points[102] : x: 800, y: 300
points[103] : x: 840, y: 320
points[104] : x: 880, y: 340
points[105] : x: 920, y: 360
points[106] : x: 960, y: 380
points[107] : x: 1000, y: 400
points[108] : x: 1040, y: 420
points[109] : x: 1080, y: 440
points[110] : x: 1120, y: 460
points[111] : x: 1160, y: 480
points[112] : x: 520, y: 200
points[113] : x: 560, y: 220
points[114] : x: 600, y: 240
points[115] : x: 640, y: 260
points[116] : x: 680, y: 280
points[117] : x: 720, y: 300
points[118] : x: 760, y: 320
points[119] : x: 800, y: 340
points[120] : x: 840, y: 360
points[121] : x: 880, y: 380
points[122] : x: 920, y: 400
points[123] : x: 960, y: 420
points[124] : x: 1000, y: 440
points[125] : x: 1040, y: 460
points[126] : x: 1080, y: 480
points[127] : x: 1120, y: 500
points[128] : x: 480, y: 220
points[129] : x: 520, y: 240
points[130] : x: 560, y: 260
points[131] : x: 600, y: 280
points[132] : x: 640, y: 300
points[133] : x: 680, y: 320
points[134] : x: 720, y: 340
points[135] : x: 760, y: 360
points[136] : x: 800, y: 380
points[137] : x: 840, y: 400
points[138] : x: 880, y: 420
points[139] : x: 920, y: 440
points[140] : x: 960, y: 460
points[141] : x: 1000, y: 480
points[142] : x: 1040, y: 500
points[143] : x: 1080, y: 520
points[144] : x: 440, y: 240
points[145] : x: 480, y: 260
points[146] : x: 520, y: 280
points[147] : x: 560, y: 300
points[148] : x: 600, y: 320
points[149] : x: 640, y: 340
points[150] : x: 680, y: 360
points[151] : x: 720, y: 380
points[152] : x: 760, y: 400
points[153] : x: 800, y: 420
points[154] : x: 840, y: 440
points[155] : x: 880, y: 460
points[156] : x: 920, y: 480
points[157] : x: 960, y: 500
points[158] : x: 1000, y: 520
points[159] : x: 1040, y: 540
points[160] : x: 400, y: 260
points[161] : x: 440, y: 280
points[162] : x: 480, y: 300
points[163] : x: 520, y: 320
points[164] : x: 560, y: 340
points[165] : x: 600, y: 360
points[166] : x: 640, y: 380
points[167] : x: 680, y: 400
points[168] : x: 720, y: 420
points[169] : x: 760, y: 440
points[170] : x: 800, y: 460
points[171] : x: 840, y: 480
points[172] : x: 880, y: 500
points[173] : x: 920, y: 520
points[174] : x: 960, y: 540
points[175] : x: 1000, y: 560
points[176] : x: 360, y: 280
points[177] : x: 400, y: 300
points[178] : x: 440, y: 320
points[179] : x: 480, y: 340
points[180] : x: 520, y: 360
points[181] : x: 560, y: 380
points[182] : x: 600, y: 400
points[183] : x: 640, y: 420
points[184] : x: 680, y: 440
points[185] : x: 720, y: 460
points[186] : x: 760, y: 480
points[187] : x: 800, y: 500
points[188] : x: 840, y: 520
points[189] : x: 880, y: 540
points[190] : x: 920, y: 560
points[191] : x: 960, y: 580
points[192] : x: 320, y: 300
points[193] : x: 360, y: 320
points[194] : x: 400, y: 340
points[195] : x: 440, y: 360
points[196] : x: 480, y: 380
points[197] : x: 520, y: 400
points[198] : x: 560, y: 420
points[199] : x: 600, y: 440
points[200] : x: 640, y: 460
points[201] : x: 680, y: 480
points[202] : x: 720, y: 500
points[203] : x: 760, y: 520
points[204] : x: 800, y: 540
points[205] : x: 840, y: 560
points[206] : x: 880, y: 580
points[207] : x: 920, y: 600
points[208] : x: 280, y: 320
points[209] : x: 320, y: 340
points[210] : x: 360, y: 360
points[211] : x: 400, y: 380
points[212] : x: 440, y: 400
points[213] : x: 480, y: 420
points[214] : x: 520, y: 440
points[215] : x: 560, y: 460
points[216] : x: 600, y: 480
points[217] : x: 640, y: 500
points[218] : x: 680, y: 520
points[219] : x: 720, y: 540
points[220] : x: 760, y: 560
points[221] : x: 800, y: 580
points[222] : x: 840, y: 600
points[223] : x: 880, y: 620
points[224] : x: 240, y: 340
points[225] : x: 280, y: 360
points[226] : x: 320, y: 380
points[227] : x: 360, y: 400
points[228] : x: 400, y: 420
points[229] : x: 440, y: 440
points[230] : x: 480, y: 460
points[231] : x: 520, y: 480
points[232] : x: 560, y: 500
points[233] : x: 600, y: 520
points[234] : x: 640, y: 540
points[235] : x: 680, y: 560
points[236] : x: 720, y: 580
points[237] : x: 760, y: 600
points[238] : x: 800, y: 620
points[239] : x: 840, y: 640
points_centre[0] : x: 800, y: 80
points_centre[1] : x: 840, y: 100
points_centre[2] : x: 880, y: 120
points_centre[3] : x: 920, y: 140
points_centre[4] : x: 960, y: 160
points_centre[5] : x: 1000, y: 180
points_centre[6] : x: 1040, y: 200
points_centre[7] : x: 1080, y: 220
points_centre[8] : x: 1120, y: 240
points_centre[9] : x: 1160, y: 260
points_centre[10] : x: 1200, y: 280
points_centre[11] : x: 1240, y: 300
points_centre[12] : x: 1280, y: 320
points_centre[13] : x: 1320, y: 340
points_centre[14] : x: 1360, y: 360
points_centre[15] : x: 760, y: 100
points_centre[16] : x: 800, y: 120
points_centre[17] : x: 840, y: 140
points_centre[18] : x: 880, y: 160
points_centre[19] : x: 920, y: 180
points_centre[20] : x: 960, y: 200
points_centre[21] : x: 1000, y: 220
points_centre[22] : x: 1040, y: 240
points_centre[23] : x: 1080, y: 260
points_centre[24] : x: 1120, y: 280
points_centre[25] : x: 1160, y: 300
points_centre[26] : x: 1200, y: 320
points_centre[27] : x: 1240, y: 340
points_centre[28] : x: 1280, y: 360
points_centre[29] : x: 1320, y: 380
points_centre[30] : x: 720, y: 120
points_centre[31] : x: 760, y: 140
points_centre[32] : x: 800, y: 160
points_centre[33] : x: 840, y: 180
points_centre[34] : x: 880, y: 200
points_centre[35] : x: 920, y: 220
points_centre[36] : x: 960, y: 240
points_centre[37] : x: 1000, y: 260
points_centre[38] : x: 1040, y: 280
points_centre[39] : x: 1080, y: 300
points_centre[40] : x: 1120, y: 320
points_centre[41] : x: 1160, y: 340
points_centre[42] : x: 1200, y: 360
points_centre[43] : x: 1240, y: 380
points_centre[44] : x: 1280, y: 400
points_centre[45] : x: 680, y: 140
points_centre[46] : x: 720, y: 160
points_centre[47] : x: 760, y: 180
points_centre[48] : x: 800, y: 200
points_centre[49] : x: 840, y: 220
points_centre[50] : x: 880, y: 240
points_centre[51] : x: 920, y: 260
points_centre[52] : x: 960, y: 280
points_centre[53] : x: 1000, y: 300
points_centre[54] : x: 1040, y: 320
points_centre[55] : x: 1080, y: 340
points_centre[56] : x: 1120, y: 360
points_centre[57] : x: 1160, y: 380
points_centre[58] : x: 1200, y: 400
points_centre[59] : x: 1240, y: 420
points_centre[60] : x: 640, y: 160
points_centre[61] : x: 680, y: 180
points_centre[62] : x: 720, y: 200
points_centre[63] : x: 760, y: 220
points_centre[64] : x: 800, y: 240
points_centre[65] : x: 840, y: 260
points_centre[66] : x: 880, y: 280
points_centre[67] : x: 920, y: 300
points_centre[68] : x: 960, y: 320
points_centre[69] : x: 1000, y: 340
points_centre[70] : x: 1040, y: 360
points_centre[71] : x: 1080, y: 380
points_centre[72] : x: 1120, y: 400
points_centre[73] : x: 1160, y: 420
points_centre[74] : x: 1200, y: 440
points_centre[75] : x: 600, y: 180
points_centre[76] : x: 640, y: 200
points_centre[77] : x: 680, y: 220
points_centre[78] : x: 720, y: 240
points_centre[79] : x: 760, y: 260
points_centre[80] : x: 800, y: 280
points_centre[81] : x: 840, y: 300
points_centre[82] : x: 880, y: 320
points_centre[83] : x: 920, y: 340
points_centre[84] : x: 960, y: 360
points_centre[85] : x: 1000, y: 380
points_centre[86] : x: 1040, y: 400
points_centre[87] : x: 1080, y: 420
points_centre[88] : x: 1120, y: 440
points_centre[89] : x: 1160, y: 460
points_centre[90] : x: 560, y: 200
points_centre[91] : x: 600, y: 220
points_centre[92] : x: 640, y: 240
points_centre[93] : x: 680, y: 260
points_centre[94] : x: 720, y: 280
points_centre[95] : x: 760, y: 300
